artist_a,artist_b,song_id
05qCf6M7E7AxizHVmrcPqh,5wEgjH2s4SAiffRmzkBqHB,2PYtXthvfINMFu1YWkAa4n
2Ip2jiEjsSe8pmRBzwTv5N,460m2YG30duLCuHwFdiLgX,65qzYRCvFJOloAOUD3ukfM
2Ip2jiEjsSe8pmRBzwTv5N,6NPvzQnxY7WwRMoN2qVBHU,65qzYRCvFJOloAOUD3ukfM
1qJG1PpAGl1FnzYyCDU7x1,460m2YG30duLCuHwFdiLgX,65qzYRCvFJOloAOUD3ukfM
1qJG1PpAGl1FnzYyCDU7x1,6NPvzQnxY7WwRMoN2qVBHU,65qzYRCvFJOloAOUD3ukfM
460m2YG30duLCuHwFdiLgX,6NPvzQnxY7WwRMoN2qVBHU,65qzYRCvFJOloAOUD3ukfM
1qJG1PpAGl1FnzYyCDU7x1,2Ip2jiEjsSe8pmRBzwTv5N,4ZjDDf6NjEVHSwJwAjeJj6
1qJG1PpAGl1FnzYyCDU7x1,5vl7Vj67mORmn0yJccFCfq,4ZjDDf6NjEVHSwJwAjeJj6
2Ip2jiEjsSe8pmRBzwTv5N,5vl7Vj67mORmn0yJccFCfq,4ZjDDf6NjEVHSwJwAjeJj6
5wtl5yOeHSTGOjqY06ngKo,2Ip2jiEjsSe8pmRBzwTv5N,3Nbb68uNWORXYVKr7w0yK3
5wtl5yOeHSTGOjqY06ngKo,05qCf6M7E7AxizHVmrcPqh,3Nbb68uNWORXYVKr7w0yK3
5wtl5yOeHSTGOjqY06ngKo,4GKTaVfXG0HMeGvK3g1JTq,3Nbb68uNWORXYVKr7w0yK3
2Ip2jiEjsSe8pmRBzwTv5N,4GKTaVfXG0HMeGvK3g1JTq,3Nbb68uNWORXYVKr7w0yK3
05qCf6M7E7AxizHVmrcPqh,4GKTaVfXG0HMeGvK3g1JTq,3Nbb68uNWORXYVKr7w0yK3
5vl7Vj67mORmn0yJccFCfq,1qJG1PpAGl1FnzYyCDU7x1,7G2aB7ZtZLuO27F92BHF6J
2Ip2jiEjsSe8pmRBzwTv5N,1cwNKCIuq12wLqAAsC1Zyi,6fnsVMIwVpMXs11REVvLJR
5vl7Vj67mORmn0yJccFCfq,1cwNKCIuq12wLqAAsC1Zyi,6fnsVMIwVpMXs11REVvLJR
1qJG1PpAGl1FnzYyCDU7x1,1cwNKCIuq12wLqAAsC1Zyi,6fnsVMIwVpMXs11REVvLJR
